name	mitarbeiter	kunden	bestandteil	homepage	quelle	tags
Brunswick Group	Carl Graf von Hohenthal, Dominik Cziesche, Ulrich Deupman, John-Paul Dryden, Neil McMillian	BP, Rolls Royce, EADS, Bayer, TÜV Rheinland, HSBC, Moody’s, Bank of America Merrill Lynch, Intercontinental Exchange, Peabody Energy, Newedge, BT, Edenred, Sodexo, Chèques Déjeuner	Labour Party		https://lobbypedia.de/wiki/Brunswick_Group	PR- und Lobbyagentur
Ogilvy & Mather	Thomas Strerath, Ulrich Klenke, Helmut Hechler, Larissa Pohl	Merck, Mitsubishi Pharma, Nestlé, Novartis, Pfizer, PharmaMar, Philips, Provinzial Versicherungen, Radeberger Gruppe, Sanofi, SAP, Schöffel, Siemens, Standard Life, Telefónica O2, Unilever, VW, WWF, Yello Strom, ZMG Zeitungs Marketing Gesellschaft, Becton Dickinson, Bristol-Myers Squibb, Carl Zeiss AG, Coca-Cola, Deutsche Bahn, Deutsche Bank, Deutscher Kinderschutzbund, Düsseldorfer Tafel e.V., EUMEPS, FM Global, Förderverein Kinderhospiz Düsseldorf e.V., Ford, Fraport, Fressnapf, Hitachi, Hoffmann Group, IBM, ING-DiBa, IPSEN PHARMA, JAKO-O, Johnson & Johnson, Lactalis, LG Electronics, Malteser Hilfsdienst e.V., MAN, MEDA Pharma, Media Markt, Merck, Adler Modemärkte, Almirall, Allianz, American Express, Aral, BASF, Bausparkasse Schwäbisch Hall, Bayer, Becton Dickinson, BP, Boehringer Ingelheim	WPP Group	http://www.ogilvy.com/	http://www.ogilvy.com/	PR- und Lobbyagentur
MSLGROUP	Olivier Fleurot, Wigan Salazar, Axel Wallrabenstein, Birgit Söllner, Kirsten Leinert, Martin Dohmen, Xander Hijnen	US-Army, Adidas, Amstel, BP, Chevrolet, Gilette, Google, Lufthansa, Nutella, Rebok, Randstad, Renault, Sony, Coca-Cola, Shell, Sanofi	Saatchi & Saatchi, Leo Burnett, CNC - Communications & Network Consulting AG	http://mslgroup.com	http://mslgroup.com	PR- und Lobbyagentur
Elephantlogic	Kajo Wasserhövel, Sebastian Reichel, Holger Reise	Bundesverband Windenergie, Vattenfall, Gasag, Storengy, INES – Initiative Erdgasspeicher, Deutsche Automatenwirtschaft, ZZF – Zentralverband des Zoologischen Fachhandels in Deutschland, VHW – Bundesverband Wohnen und Stadtentwicklung, Deutscher Automatenverband, SPD, Barmer GEK, Knappschaft Bahn See, Krankenhausgesellschaft Nordrhein-Westfalen KGNW, Deutsche Annington, Ambiente Kreuzfahrten, Deutsche Post, Industriegewerkschaft Bergbau Chemie Energie, Quadriga Hochschule, Friedrich-Ebert-Stifung		http://elephantlogic.de		PR- und Lobbyagentur
wbpr Public Relations	Dietrich von Gumppenberg, Markus Eicher	Balsen, Lidl, Evonik, FSA - Arzneimittelindustrie, BVL - Bundesvereinigung Logistik, Deutsche BKK, DAB Bank, Infineon, Open Grid Europe, Hanns Seidel Stiftung, Würth, RAG, Toasties, TÜV, Weihenstephan, Tönnies, Veolia		http://www.wbpr.de		PR- und Lobbyagentur
Schröder+Schömbs PR	Anne Fischer, Elmar von Hoesslin, Gerald Schömbs, Herbert Schmitz, Katharina Telschow, Melanie Sommer-Jöst, Michael Hetzinger	Anschutz Sports and Entertainment Group, Telekom, Nike, Fissler, Flensburger Brauerei, Franklin Marshall, Gerolsteiner, Groupon, Hard Rock Cafe, Keds, NBA, Porsche, Wranglers, Lapponia Jewelry, Videoload		http://www.schroederschoembs.com	http://www.schroederschoembs.com	PR- und Lobbyagentur, Lifestyle
Fink & Fuchs Public Relations	Stephan Fink, Alexandra Gross, Michael Grupe	Hahnemühle, Freudenberg IT, Adobe, Bundesverband der Hörgeräte-Industrie, Cisco Systems, Interxion, Computacenter, Fonic, Microsoft, Schott AG, TÜV Hessen, EMC, World Cyber Games, Immobilienscout 24		http://www.fppr.de	http://www.fppr.de	PR- und Lobbyagentur, IT
navos - Public Dialogue Consultants	Anja Schlicht, Markus Hilfe, Armin Erkens, Charlotte Hohlzum, Rebecca Ritter, Christian Simon, Antje Knollmann	Wintershall, Haltermann, digitalSTROM, TenneT, Böhringer Ingelheim	Global Communications Alliance	http://www.navos.eu	http://www.presseportal.de/pm/103585/2474165/beste-krisenkommunikation-navos-mit-pr-report-award-2013-ausgezeichnet-starkes-neugesch-ft-2013-bei	PR- und Lobbyagentur, Stakeholder-Dialog, PR, Krisenkommunikation, Public Affairs, Pharma, Öl
Deekeling Arndt Advisors	Egbert Deekeling, Olaf Arndt, Susanne Arndt, Dirk Barghop, Michael Fuchs, Volker Heck, Heiner Reiners, Lutz Zimmermann, Tiglet Aslan, Heike Humpf, Michael Pfister, Stephan Rammelt, Heiner Reiners, André Wigger, Margareta Wolf, Wolfgang Clement, Nina Hauer, Friedhelm Ost	FDP, Deutsches Atomforum, Vivawest Wohnen		http://www.deekeling-arndt.de/	https://lobbypedia.de/wiki/Deekeling_Arndt_Advisors	PR- und Lobbyagentur, Public Affairs
WMP Eurocom	Michael Inacker, Klaus-Peter Schmidt-Deguelle, Hans-Hermann Tiedje, Roland Berger, Ulrich Marseille, Hans Eichel, Reinhardt Töpel, Wendelin Wiedeking, Michael Hilbig, Friedrich-Wilhelm Kramer, Hans-Dietrich Genscher, Udo Reiter, Eckhard Cordes	BDI Bundesverband der Deutschen Industrie, Türkei, BfA Bundesanstalt für Arbeit, Vattenfall, mdr, BP, Sachsen		http://www.wmp-ag.de/	https://lobbypedia.de/wiki/WMP_Eurocom#Vorstand	PR- und Lobbyagentur
