kabinett;name;v1org;v1art;v1position;v1beginn;v1ende;v2org;v2art;v2position;v2beginn;v2ende;v3org;v3art;v3position;v3beginn;v3ende;v4org;v4art;v4position;v4beginn;v4ende;tag1;tag2;tag3
Merkel I;Peer Steinbrück;Bundesministerium der Finanzen;government;Bundesminister der Finanzen;11/22/05;10/28/09;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel I;Verwaltung;Politik
Merkel I;Karl Diller;Bundesministerium der Finanzen;government;Parlamentarischer Staatssekretär ;11/22/05;10/28/09;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel I;Verwaltung;Politik
Merkel I;Barbara Hendricks;Bundesministerium der Finanzen;government;Parlamentarische Staatssekretärin ;11/22/05;11/16/07;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel I;Verwaltung;Politik
Merkel I;Nicolette Kressl;Bundesministerium der Finanzen;government;Parlamentarische Staatssekretärin ;11/17/07;10/28/09;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel I;Verwaltung;Politik
Merkel I;Michael Glos;Bundesministerium für Wirtschaft und Technologie;government;Bundesminister für Wirtschaft und Technologie;11/22/05;2/10/09;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel I;Verwaltung;Politik
Merkel I;Peter Hintze;Bundesministerium für Wirtschaft und Technologie;government;Parlamentarischer Staatssekretär ;11/22/05;10/28/09;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel I;Verwaltung;Politik
Merkel I;Hartmut Schauerte;Bundesministerium für Wirtschaft und Technologie;government;Parlamentarischer Staatssekretär ;11/22/05;10/28/09;;;;;;CDU;Mitglied;;;;;;;;;Kabinett Merkel I;Verwaltung;Politik
Merkel I;Dagmar Wöhrl;Bundesministerium für Wirtschaft und Technologie;government;Parlamentarische Staatssekretärin ;11/22/05;10/28/09;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel I;Verwaltung;Politik
Merkel I;Karl-Theodor zu Guttenberg;Bundesministerium für Wirtschaft und Technologie;government;Bundesminister für Wirtschaft und Technologie;2/10/09;10/28/09;;;;;;CSU;Mitglied;;;;;;;;;Kabinett Merkel I;Verwaltung;Politik
Merkel I;Franz Thönnes;Bundesministerium für Arbeit und Soziales;government;Parlamentarischer Staatssekretär ;11/22/05;10/28/09;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel I;Verwaltung;Politik
Merkel I;Gerd Andres;Bundesministerium für Arbeit und Soziales;government;Parlamentarischer Staatssekretär ;11/22/05;11/21/07;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel I;Verwaltung;Politik
Merkel I;Klaus Brandner;Bundesministerium für Arbeit und Soziales;government;Parlamentarischer Staatssekretär ;11/21/07;10/28/09;;;;;;SPD;Mitglied;;;;;;;;;Kabinett Merkel I;Verwaltung;Politik
